grupo,grupo_tema,archivo_original,formato,titulo_detectado,roles_relevantes,porcion_aprovechada,observaciones
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/3-57-48-_An_lisis___Integraci_n_.md,md,<Análisis - Integración>,"assistant, system, tool, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/5-30-5-_PS_Master_XML_Config_.md,md,<PS_Master XML Config>,"assistant, system, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/5-46-4-_SOP_01___An_lisis__02_.md,md,<SOP_01 - Análisis #02>,"assistant, system, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-20-18-An_lisis_SOP_01_y_errores.md,md,Análisis SOP-01 y errores,"assistant, system, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-23-21-New_chat.md,md,New chat,"assistant, system, tool, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-24-5-New_chat.md,md,New chat,"assistant, system, tool, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-4-10-Revisi_n_t_cnica_script.md,md,Revisión técnica script,"assistant, system, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-48-56-An_lisis_t_cnico_orquestador.md,md,Análisis técnico orquestador,"assistant, system, user",sí,
grupo-01,Análisis de datos (Python/SQL/Excel),2025-9-29/6-9-11-Instrucciones_de_ejecuci_n.md,md,Instrucciones de ejecución,"assistant, system, user",sí,
grupo-02,"Automatización, scripting y tooling",2025-9-29/5-31-12-_SCRIPT___Invoke_RepoReorg_.md,md,<SCRIPT - Invoke-RepoReorg>,"assistant, system, user",sí,
grupo-02,"Automatización, scripting y tooling",2025-9-29/6-33-27-An_lisis_de_m_dulos_PowerShell.md,md,Análisis de módulos PowerShell,"assistant, system, user",sí,
grupo-02,"Automatización, scripting y tooling",2025-9-29/6-44-25-Auditor_a_t_cnica_documento.md,md,Auditoría técnica documento,"assistant, system, user",sí,
grupo-02,"Automatización, scripting y tooling",2025-9-29/6-45-32-An_lisis_README_proyecto.md,md,Análisis README proyecto,"assistant, system, user",sí,
grupo-03,Estrategia de prompts y plantillas,2025-9-29/5-50-50-_SOP___Env_Survey_.md,md,<SOP - Env Survey>,"assistant, system, user",sí,
grupo-03,Estrategia de prompts y plantillas,2025-9-29/5-58-16-_Trazabilidad_y_coherencia_.md,md,<Trazabilidad y coherencia>,"assistant, system, user",sí,
grupo-03,Estrategia de prompts y plantillas,2025-9-29/6-26-32-An_lisis_de_instrucciones_proyecto.md,md,Análisis de instrucciones proyecto,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/4-58-47-_WsW_mnt_.md,md,<WsW_mnt>,"assistant, system, tool, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/5-16-29-_WsW_Script_.md,md,<WsW_Script>,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/5-22-31-_WsW_Contexto_.md,md,<WsW_Contexto>,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/5-36-5-_SOP_01___An_lisis__01_.md,md,<SOP_01 - Análisis #01>,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/5-52-44-_SOP_01___An_lisis__03_.md,md,<SOP_01 - Análisis #03>,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/6-11-18-An_lisis_de_documentaci_n_PS.md,md,Análisis de documentación PS,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/6-31-26-Auditor_a_de_configuraci_n.md,md,Auditoría de configuración,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/6-34-30-An_lisis_protocolo_auditor_a.md,md,Análisis protocolo auditoría,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/6-36-14-An_lisis_y_auditor_a_t_cnica.md,md,Análisis y auditoría técnica,"assistant, system, user",sí,
grupo-04,Gestión de proyectos y procesos,2025-9-29/6-50-15-An_lisis_de_protocolo_SOP01.md,md,Análisis de protocolo SOP01,"assistant, system, tool, user",sí,
grupo-05,Investigación y síntesis de documentos,2025-9-29/5-48-30-_SOP_01___An_lisis__03_.md,md,<SOP_01 - Análisis #03>,"assistant, system, tool, user",sí,
grupo-05,Investigación y síntesis de documentos,2025-9-29/6-22-21-Lee_y_analiza_script.md,md,Lee y analiza script,"assistant, system, user",sí,
grupo-05,Investigación y síntesis de documentos,2025-9-29/6-29-54-An_lisis_de_instrucciones.md,md,Análisis de instrucciones,"assistant, system, user",sí,
grupo-05,Investigación y síntesis de documentos,2025-9-29/6-7-43-An_lisis_SOP_01.md,md,Análisis SOP-01,"assistant, system, user",sí,
grupo-06,"Legal, compliance y políticas",2025-9-29/5-56-17-_An_lisis_Config_.md,md,<Análisis Config>,"assistant, system, user",sí,
grupo-06,"Legal, compliance y políticas",2025-9-29/6-0-1-_Config_YSD_.md,md,<Config YSD>,"assistant, system, user",sí,
grupo-07,"Marketing, contenido y SEO",2025-9-29/5-40-13-_SOP_Backticks_Fences_Here_Strings_.md,md,<SOP_Backticks_Fences_Here-Strings>,"assistant, system, user",sí,
grupo-07,"Marketing, contenido y SEO",2025-9-29/6-14-34-An_lisis_de_script_PowerShell.md,md,Análisis de script PowerShell,"assistant, system, user",sí,
grupo-08,UX/UI y diseño,2025-9-29/6-19-13-An_lisis_PUAV_Compat.md,md,Análisis PUAV-Compat,"assistant, system, user",sí,
grupo-08,UX/UI y diseño,2025-9-29/6-40-30-An_lisis_SOP_auditor_a.md,md,Análisis SOP auditoría,"assistant, system, user",sí,
